Name,I/O
fread,input
import,input
load,input
read_delim,input
read_file,input
read_fw,input
read_lines,input
read_log,input
read_table,input
read.csv,input
read.dta,input
read.systat,input
read.table,input
read.xlsx,input
readRDS,input
sasxport.get,input
spss.get,input
export,output
save,output
save,output
saveRDS,output
write_csv,output
write.csv,output
write.csv2,output
write.dcf,output
write.dta,output
write.foreign,output
write.ftable,output
write.table,output
write.table,output
write.tsv,output
write.xlsx,output